Date,Category,Amount,Description
2025-01-01,Food,15.50,Breakfast at cafe
2025-01-01,Transport,8.00,Bus ticket
2025-01-02,Groceries,62.30,Supermarket shopping
2025-01-02,Entertainment,25.00,Movie night
2025-01-03,Utilities,120.00,Electricity bill
2025-01-03,Food,20.75,Lunch at Subway
2025-01-04,Transport,15.00,Taxi
2025-01-04,Groceries,54.20,Weekly groceries
2025-01-05,Entertainment,45.00,Concert ticket
2025-01-05,Food,18.90,Dinner with friends
2025-01-06,Subscriptions,9.99,Netflix monthly
2025-01-06,Health,35.50,Pharmacy purchase
2025-01-07,Food,14.20,Breakfast
2025-01-07,Transport,10.00,Metro card recharge
2025-01-08,Groceries,68.45,Supermarket
2025-01-08,Entertainment,30.00,Amusement park
2025-01-09,Utilities,60.50,Water bill
2025-01-09,Food,12.75,Coffee and snacks
2025-01-10,Shopping,85.00,Clothes
2025-01-10,Transport,6.50,Bus ticket
2025-01-11,Groceries,59.10,Weekly shopping
2025-01-11,Food,22.40,Lunch at diner
2025-01-12,Entertainment,40.00,Theatre
2025-01-12,Subscriptions,14.99,Spotify
2025-01-13,Utilities,110.00,Gas bill
2025-01-13,Food,16.80,Breakfast at cafe
2025-01-14,Groceries,64.75,Supermarket
2025-01-14,Transport,8.20,Bus ticket
2025-01-15,Entertainment,50.00,Concert ticket
2025-01-15,Health,45.60,Doctor visit
2025-01-16,Food,21.30,Dinner
2025-01-16,Groceries,70.10,Supermarket
2025-01-17,Transport,12.00,Taxi
2025-01-17,Shopping,95.50,Shoes
2025-01-18,Utilities,58.30,Water bill
2025-01-18,Food,14.50,Lunch at fast food
2025-01-19,Entertainment,35.00,Cinema
2025-01-19,Groceries,63.25,Supermarket
2025-01-20,Transport,7.50,Bus ticket
2025-01-20,Health,29.40,Pharmacy
2025-01-21,Food,19.80,Breakfast at cafe
2025-01-21,Subscriptions,9.99,Netflix
2025-01-22,Groceries,55.60,Supermarket
2025-01-22,Entertainment,20.00,Mini golf
2025-01-23,Utilities,102.50,Electricity bill
2025-01-23,Food,18.40,Dinner with friends
2025-01-24,Transport,6.80,Metro ticket
2025-01-24,Groceries,72.30,Supermarket
2025-01-25,Entertainment,45.00,Theatre
2025-01-25,Food,15.70,Lunch
2025-01-26,Health,33.00,Pharmacy
2025-01-26,Subscriptions,14.99,Spotify
2025-01-27,Utilities,59.90,Water bill
2025-01-27,Food,17.20,Breakfast
2025-01-28,Groceries,61.80,Supermarket
2025-01-28,Transport,8.40,Bus ticket
2025-01-29,Entertainment,38.00,Amusement park
2025-01-29,Food,20.50,Dinner
2025-01-30,Shopping,78.25,Clothes
2025-01-30,Groceries,69.90,Weekly groceries
2025-01-31,Transport,10.00,Metro recharge
2025-01-31,Food,16.30,Lunch at diner

