Date,Category,Amount,Description
2025-01-01,Food,15.5,Breakfast at cafe
2025-01-01,Transport,8.0,Bus ticket
2025-01-02,Groceries,62.3,Supermarket shopping
2025-01-02,Entertainment,25.0,Movie night
2025-01-03,Utilities,120.0,Electricity bill
2025-01-03,Food,20.75,Lunch at Subway
2025-01-04,Transport,15.0,Taxi
2025-01-04,Groceries,54.2,Weekly groceries
2025-01-05,Entertainment,45.0,Concert ticket
2025-01-05,Food,18.9,Dinner with friends
2025-01-06,Subscriptions,9.99,Netflix monthly
2025-01-06,Health,35.5,Pharmacy purchase
2025-01-07,Food,14.2,Breakfast
2025-01-07,Transport,10.0,Metro card recharge
2025-01-08,Groceries,68.45,Supermarket
2025-01-08,Entertainment,30.0,Amusement park
2025-01-09,Utilities,60.5,Water bill
2025-01-09,Food,12.75,Coffee and snacks
2025-01-10,Shopping,85.0,Clothes
2025-01-10,Transport,6.5,Bus ticket
2025-01-11,Groceries,59.1,Weekly shopping
2025-01-11,Food,22.4,Lunch at diner
2025-01-12,Entertainment,40.0,Theatre
2025-01-12,Subscriptions,14.99,Spotify
2025-01-13,Utilities,110.0,Gas bill
2025-01-13,Food,16.8,Breakfast at cafe
2025-01-14,Groceries,64.75,Supermarket
2025-01-14,Transport,8.2,Bus ticket
2025-01-15,Entertainment,50.0,Concert ticket
2025-01-15,Health,45.6,Doctor visit
2025-01-16,Food,21.3,Dinner
2025-01-16,Groceries,70.1,Supermarket
2025-01-17,Transport,12.0,Taxi
2025-01-17,Shopping,95.5,Shoes
2025-01-18,Utilities,58.3,Water bill
2025-01-18,Food,14.5,Lunch at fast food
2025-01-19,Entertainment,35.0,Cinema
2025-01-19,Groceries,63.25,Supermarket
2025-01-20,Transport,7.5,Bus ticket
2025-01-20,Health,29.4,Pharmacy
2025-01-21,Food,19.8,Breakfast at cafe
2025-01-21,Subscriptions,9.99,Netflix
2025-01-22,Groceries,55.6,Supermarket
2025-01-22,Entertainment,20.0,Mini golf
2025-01-23,Utilities,102.5,Electricity bill
2025-01-23,Food,18.4,Dinner with friends
2025-01-24,Transport,6.8,Metro ticket
2025-01-24,Groceries,72.3,Supermarket
2025-01-25,Entertainment,45.0,Theatre
2025-01-25,Food,15.7,Lunch
2025-01-26,Health,33.0,Pharmacy
2025-01-26,Subscriptions,14.99,Spotify
2025-01-27,Utilities,59.9,Water bill
2025-01-27,Food,17.2,Breakfast
2025-01-28,Groceries,61.8,Supermarket
2025-01-28,Transport,8.4,Bus ticket
2025-01-29,Entertainment,38.0,Amusement park
2025-01-29,Food,20.5,Dinner
2025-01-30,Shopping,78.25,Clothes
2025-01-30,Groceries,69.9,Weekly groceries
2025-01-31,Transport,10.0,Metro recharge
2025-01-31,Food,16.3,Lunch at diner
